Gene	Gene description	Protein class	RNA cancer category	RNA TS TPM
FCGR3B	Fc fragment of IgG receptor IIIb	CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Mixed	appendix: 118.1;spleen: 115.2
FCHO1	FCH domain only 1	Predicted intracellular proteins	Mixed	lymph node: 28.8
FCMR	Fc fragment of IgM receptor	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	lymph node: 175.8;spleen: 148.0;tonsil: 146.7
FCRL1	Fc receptor like 1	CD markers, Predicted membrane proteins, Predicted secreted proteins	Mixed	lymph node: 30.3;spleen: 23.5;tonsil: 20.0
FCRL4	Fc receptor like 4	Cancer-related genes, CD markers, Disease related genes, Predicted membrane proteins	Not detected	appendix: 3.6;lymph node: 4.4;tonsil: 9.6
FCRL5	Fc receptor like 5	CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Mixed	lymph node: 28.7;spleen: 20.5;tonsil: 32.8
FCRL6	Fc receptor like 6	Predicted intracellular proteins, Predicted membrane proteins	Mixed	spleen: 18.4
FDCSP	Follicular dendritic cell secreted protein	Predicted secreted proteins	Tissue enhanced	lymph node: 1014.2;salivary gland: 1371.2;tonsil: 2458.1
FERMT3	Fermitin family member 3	Disease related genes, Plasma proteins, Predicted intracellular proteins	Expressed in all	bone marrow: 114.2
FFAR1	Free fatty acid receptor 1	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Tissue enriched	bone marrow: 1.9
FFAR2	Free fatty acid receptor 2	G-protein coupled receptors, Predicted membrane proteins	Tissue enhanced	appendix: 25.5;bone marrow: 13.3
FFAR3	Free fatty acid receptor 3	G-protein coupled receptors, Predicted membrane proteins	Not detected	adipose tissue: 2.5;appendix: 3.5;smooth muscle: 2.2
FGD2	FYVE, RhoGEF and PH domain containing 2	Predicted intracellular proteins	Mixed	spleen: 42.4
FGD3	FYVE, RhoGEF and PH domain containing 3	Plasma proteins, Predicted intracellular proteins	Expressed in all	lymph node: 31.4
FGFBP2	Fibroblast growth factor binding protein 2	Plasma proteins, Predicted secreted proteins	Group enriched	bone marrow: 29.0
FGR	FGR proto-oncogene, Src family tyrosine kinase	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Expressed in all	appendix: 85.6;bone marrow: 137.0;spleen: 90.6
FHOD1	Formin homology 2 domain containing 1	Plasma proteins, Predicted intracellular proteins	Expressed in all	spleen: 62.3
FLI1	Fli-1 proto-oncogene, ETS transcription factor	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Expressed in all	spleen: 46.1
FLT3	Fms related tyrosine kinase 3	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins	Tissue enhanced	lymph node: 7.0;spleen: 7.7
FOLR3	Folate receptor 3	Predicted secreted proteins	Tissue enhanced	bone marrow: 56.7
FOXP3	Forkhead box P3	Disease related genes, Predicted intracellular proteins, Transcription factors	Mixed	appendix: 8.7
FPR1	Formyl peptide receptor 1	G-protein coupled receptors, Predicted membrane proteins	Expressed in all	appendix: 177.8
FPR2	Formyl peptide receptor 2	G-protein coupled receptors, Predicted membrane proteins	Mixed	appendix: 69.7
FRZB	Frizzled-related protein	Disease related genes, Predicted secreted proteins	Expressed in all	spleen: 101.2
FUT7	Fucosyltransferase 7	Predicted intracellular proteins	Mixed	lymph node: 3.7;spleen: 2.6
FYB	FYN binding protein	Predicted intracellular proteins	Expressed in all	appendix: 127.4;lymph node: 109.8;spleen: 114.9
FZD8	Frizzled class receptor 8	G-protein coupled receptors, Plasma proteins, Predicted membrane proteins	Expressed in all	spleen: 15.9
GAL	Galanin and GMAP prepropeptide	Disease related genes, Plasma proteins, Predicted secreted proteins	Mixed	appendix: 18.1;smooth muscle: 12.1
GAPT	GRB2 binding adaptor protein, transmembrane	Predicted intracellular proteins	Mixed	appendix: 38.8;tonsil: 38.8
GBP5	Guanylate binding protein 5	Predicted intracellular proteins	Expressed in all	appendix: 100.5
GCA	Grancalcin	Plasma proteins, Predicted intracellular proteins	Expressed in all	bone marrow: 214.5
GCH1	GTP cyclohydrolase 1	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Expressed in all	bone marrow: 22.6
GCSAM	Germinal center associated signaling and motility	Predicted intracellular proteins	Mixed	lymph node: 52.0;tonsil: 53.1
GDF3	Growth differentiation factor 3	Disease related genes, Predicted secreted proteins	Tissue enriched	kidney: 1.1;spleen: 1.1
GDPD2	Glycerophosphodiester phosphodiesterase domain containing 2	Enzymes, Predicted membrane proteins	Tissue enhanced	skin: 50.8;spleen: 60.0
GDPD5	Glycerophosphodiester phosphodiesterase domain containing 5	Predicted membrane proteins	Expressed in all	spleen: 67.0
GFI1	Growth factor independent 1 transcriptional repressor	Disease related genes, Predicted intracellular proteins, Transcription factors	Mixed	bone marrow: 34.8
GIMAP1	GTPase, IMAP family member 1	Predicted membrane proteins	Expressed in all	spleen: 32.8
GIMAP1-GIMAP5	GIMAP1-GIMAP5 readthrough	Predicted membrane proteins	Not detected	spleen: 17.9
GJD3	Gap junction protein delta 3	Predicted membrane proteins	Tissue enhanced	spleen: 7.0
GNA15	G protein subunit alpha 15	Plasma proteins, Predicted intracellular proteins	Expressed in all	bone marrow: 48.7;esophagus: 61.3
GNLY	Granulysin	Predicted intracellular proteins, Predicted secreted proteins, Transporters	Expressed in all	bone marrow: 152.4;endometrium: 113.5;spleen: 112.9
GP1BA	Glycoprotein Ib platelet alpha subunit	CD markers, Disease related genes, Plasma proteins, Predicted membrane proteins	Mixed	lymph node: 17.3
GP5	Glycoprotein V platelet	CD markers, Plasma proteins, Predicted membrane proteins	Tissue enriched	lymph node: 1.3
GP9	Glycoprotein IX platelet	CD markers, Disease related genes, Predicted membrane proteins	Not detected	bone marrow: 2.9;spleen: 2.7
GPR141	G protein-coupled receptor 141	G-protein coupled receptors, Predicted membrane proteins	Mixed	bone marrow: 18.5
GPR171	G protein-coupled receptor 171	G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins	Mixed	appendix: 29.8
GPR174	G protein-coupled receptor 174	G-protein coupled receptors, Predicted membrane proteins	Mixed	lymph node: 29.8;spleen: 16.7;tonsil: 17.2
GPR18	G protein-coupled receptor 18	G-protein coupled receptors, Predicted membrane proteins	Mixed	lymph node: 51.5;testis: 25.3;tonsil: 31.5
GPR182	G protein-coupled receptor 182	G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins	Not detected	spleen: 12.2;testis: 6.7
GPR31	G protein-coupled receptor 31	G-protein coupled receptors, Predicted membrane proteins	Not detected	lymph node: 1.6
GPR55	G protein-coupled receptor 55	G-protein coupled receptors, Predicted membrane proteins	Mixed	spleen: 5.8;testis: 9.0
GPR84	G protein-coupled receptor 84	G-protein coupled receptors, Predicted membrane proteins	Mixed	appendix: 11.6;bone marrow: 14.7
GPSM3	G-protein signaling modulator 3	Predicted intracellular proteins	Expressed in all	lymph node: 27.5;spleen: 29.3
GRAP	GRB2-related adaptor protein	Plasma proteins, Predicted intracellular proteins	Mixed	lymph node: 30.9;spleen: 25.4
GRAP2	GRB2-related adaptor protein 2	Plasma proteins, Predicted intracellular proteins	Mixed	lymph node: 18.0
GRAPL	GRB2 related adaptor protein like	Predicted intracellular proteins	Not detected	lymph node: 26.7;spleen: 32.0
GRIN3B	Glutamate ionotropic receptor NMDA type subunit 3B	FDA approved drug targets, Predicted membrane proteins	Mixed	fallopian tube: 2.1;spleen: 1.2
GSDMC	Gasdermin C	Predicted intracellular proteins, Transporters	Group enriched	esophagus: 20.0;skin: 44.3;spleen: 21.6
GYPE	Glycophorin E (MNS blood group)	Predicted membrane proteins	Not detected	bone marrow: 8.1
GZMB	Granzyme B	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Expressed in all	lymph node: 40.1
GZMH	Granzyme H	Enzymes, Predicted secreted proteins	Expressed in all	spleen: 35.3
GZMK	Granzyme K	Enzymes, Predicted secreted proteins	Expressed in all	lymph node: 103.9
GZMM	Granzyme M	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Expressed in all	lymph node: 20.9;spleen: 19.7
HAPLN3	Hyaluronan and proteoglycan link protein 3	Predicted membrane proteins, Predicted secreted proteins	Expressed in all	appendix: 13.8;lymph node: 10.8
HCAR2	Hydroxycarboxylic acid receptor 2	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Group enriched	spleen: 36.0
HCAR3	Hydroxycarboxylic acid receptor 3	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Mixed	bone marrow: 16.6;spleen: 21.7
HCK	HCK proto-oncogene, Src family tyrosine kinase	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Expressed in all	appendix: 149.6;spleen: 113.2
HIST1H1B	Histone cluster 1 H1 family member b	Plasma proteins, Predicted intracellular proteins	Tissue enhanced	bone marrow: 6.2;lymph node: 2.6
HIST1H2AB	Histone cluster 1 H2A family member b	Predicted intracellular proteins	Mixed	bone marrow: 1.6
HIST1H2AD	Histone cluster 1 H2A family member d	Predicted intracellular proteins	Mixed	bone marrow: 2.2;prostate: 1.9
HIST1H2AH	Histone cluster 1 H2A family member h	Predicted intracellular proteins	Mixed	bone marrow: 7.4
HIST1H2AJ	Histone cluster 1 H2A family member j	Predicted intracellular proteins	Mixed	bone marrow: 6.4
HIST1H2BI	Histone cluster 1 H2B family member i	Plasma proteins, Predicted intracellular proteins	Mixed	bone marrow: 1.9;lymph node: 1.7
HIST1H2BM	Histone cluster 1 H2B family member m	Predicted intracellular proteins	Mixed	bone marrow: 3.3;lymph node: 2.6
HIST1H2BO	Histone cluster 1 H2B family member o	Predicted intracellular proteins	Mixed	bone marrow: 2.1
HIST1H3C	Histone cluster 1 H3 family member c	Predicted intracellular proteins	Mixed	bone marrow: 3.3
HIST1H3D	Histone cluster 1 H3 family member d	Predicted intracellular proteins		bone marrow: 2.1
HIST1H3F	Histone cluster 1 H3 family member f	Predicted intracellular proteins	Mixed	bone marrow: 1.4
HIST1H3I	Histone cluster 1 H3 family member i	Predicted intracellular proteins	Tissue enhanced	bone marrow: 1.1
HIST1H3J	Histone cluster 1 H3 family member j	Predicted intracellular proteins	Mixed	lymph node: 1.5
HIST1H4B	Histone cluster 1 H4 family member b	Disease related genes, Predicted intracellular proteins	Mixed	bone marrow: 1.3
HIST2H2AA3	Histone cluster 2 H2A family member a3	Predicted intracellular proteins	Tissue enhanced	bone marrow: 112.2;prostate: 125.6
HIST2H3D	Histone cluster 2 H3 family member d	Predicted intracellular proteins	Mixed	bone marrow: 2.5
HIST2H3PS2	Histone cluster 2 H3 pseudogene 2	Predicted intracellular proteins	Not detected	adrenal gland: 8.5;spleen: 7.7
HJURP	Holliday junction recognition protein	Predicted intracellular proteins	Mixed	bone marrow: 28.7;testis: 20.0
HK3	Hexokinase 3	Enzymes, Plasma proteins, Predicted intracellular proteins	Mixed	bone marrow: 87.9
HLA-DOA	Major histocompatibility complex, class II, DO alpha	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	spleen: 14.4
HLA-DQB1	Major histocompatibility complex, class II, DQ beta 1	Predicted membrane proteins, Predicted secreted proteins	Expressed in all	lymph node: 287.3
HLA-DRA	Major histocompatibility complex, class II, DR alpha	Plasma proteins, Predicted membrane proteins	Expressed in all	lung: 731.8;lymph node: 894.1
HLA-F	Major histocompatibility complex, class I, F	Plasma proteins, Predicted membrane proteins	Expressed in all	lymph node: 41.2
HLX	H2.0 like homeobox	Predicted intracellular proteins, Transcription factors	Expressed in all	bone marrow: 60.3
HMHB1	Histocompatibility minor HB-1	Predicted intracellular proteins	Not detected	lymph node: 1.3;testis: 2.4
HRH2	Histamine receptor H2	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Tissue enhanced	bone marrow: 23.5
HS3ST3A1	Heparan sulfate-glucosamine 3-sulfotransferase 3A1	Enzymes, Predicted intracellular proteins	Mixed	spleen: 9.1
HYAL1	Hyaluronoglucosaminidase 1	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Expressed in all	liver: 71.1;spleen: 69.3
HYAL3	Hyaluronoglucosaminidase 3	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Expressed in all	bone marrow: 22.7
ICAM4	Intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	Blood group antigen proteins, CD markers, Predicted membrane proteins, Predicted secreted proteins	Not detected	bone marrow: 8.7;lung: 14.5
ICOS	Inducible T-cell costimulator	CD markers, Disease related genes, Predicted membrane proteins	Mixed	bone marrow: 10.9;lymph node: 16.9;tonsil: 14.8
IER3	Immediate early response 3	Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	appendix: 20.7
IFNG	Interferon gamma	Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Mixed	appendix: 4.7;bone marrow: 7.6;lymph node: 7.9
IGSF21	Immunoglobin superfamily member 21	Predicted secreted proteins	Group enriched	cerebral cortex: 28.9;spleen: 13.2
IGSF6	Immunoglobulin superfamily member 6	Predicted membrane proteins	Expressed in all	appendix: 15.2;spleen: 18.1
IKZF1	IKAROS family zinc finger 1	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	Expressed in all	lymph node: 83.0
IKZF3	IKAROS family zinc finger 3	Predicted intracellular proteins, Transcription factors	Mixed	lymph node: 44.7;spleen: 31.7;tonsil: 39.2
IL10	Interleukin 10	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Mixed	appendix: 8.7
IL10RA	Interleukin 10 receptor subunit alpha	CD markers, Disease related genes, Predicted membrane proteins	Expressed in all	spleen: 86.2
IL11	Interleukin 11	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Mixed	appendix: 5.7;endometrium: 5.2;gallbladder: 4.9
IL12RB1	Interleukin 12 receptor subunit beta 1	CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Mixed	lymph node: 25.9
IL16	Interleukin 16	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Expressed in all	lymph node: 154.4;tonsil: 124.0
IL17A	Interleukin 17A	Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Not detected	appendix: 1.0;tonsil: 1.3;urinary bladder: 1.5
IL17REL	Interleukin 17 receptor E like	Predicted intracellular proteins	Mixed	appendix: 3.1;lymph node: 2.4;tonsil: 4.0
IL18BP	Interleukin 18 binding protein	Predicted secreted proteins	Expressed in all	spleen: 56.2
IL18RAP	Interleukin 18 receptor accessory protein	CD markers, Predicted membrane proteins, Predicted secreted proteins	Mixed	bone marrow: 70.9
IL1B	Interleukin 1 beta	Cancer-related genes, Candidate cardiovascular disease genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Mixed	appendix: 68.0;bone marrow: 106.4
IL21	Interleukin 21	Disease related genes, Plasma proteins, Predicted secreted proteins	Not detected	lymph node: 18.1;tonsil: 6.3
IL21R	Interleukin 21 receptor	Cancer-related genes, CD markers, Disease related genes, Predicted membrane proteins	Mixed	appendix: 15.8;lymph node: 28.8;tonsil: 17.4
IL24	Interleukin 24	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Mixed	appendix: 17.3;lymph node: 37.1;spleen: 23.4
IL26	Interleukin 26	Plasma proteins, Predicted secreted proteins	Not detected	appendix: 1.2;urinary bladder: 1.4
IL2RA	Interleukin 2 receptor subunit alpha	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Mixed	adipose tissue: 24.2;appendix: 19.8;lymph node: 20.4
IL2RB	Interleukin 2 receptor subunit beta	Cancer-related genes, CD markers, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	placenta: 52.7;spleen: 67.1
IL2RG	Interleukin 2 receptor subunit gamma	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	lymph node: 273.3;tonsil: 279.4
IL34	Interleukin 34	Predicted intracellular proteins, Predicted secreted proteins	Expressed in all	skin: 58.0;spleen: 145.6
IL4I1	Interleukin 4 induced 1	Enzymes, Predicted secreted proteins	Expressed in all	appendix: 24.5;testis: 32.0
IL7R	Interleukin 7 receptor	Cancer-related genes, CD markers, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	appendix: 182.9;lymph node: 158.5
IRAK3	Interleukin 1 receptor associated kinase 3	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Mixed	bone marrow: 51.0
IRF4	Interferon regulatory factor 4	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Tissue enriched	lymph node: 27.1
IRF8	Interferon regulatory factor 8	Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Expressed in all	lymph node: 297.7;spleen: 205.7;tonsil: 232.5
ISG20	Interferon stimulated exonuclease gene 20	Enzymes, Predicted intracellular proteins	Expressed in all	lymph node: 221.4
ITGA2B	Integrin subunit alpha 2b	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Mixed	bone marrow: 11.2;epididymis: 29.3
ITGA4	Integrin subunit alpha 4	Cancer-related genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Mixed	spleen: 67.6
ITGAL	Integrin subunit alpha L	CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	lymph node: 79.0;spleen: 80.9
ITGAM	Integrin subunit alpha M	Cancer-related genes, CD markers, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	bone marrow: 130.2
ITGAX	Integrin subunit alpha X	CD markers, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	appendix: 58.3;spleen: 59.0
ITK	IL2 inducible T-cell kinase	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Mixed	appendix: 20.2;lymph node: 33.2;tonsil: 22.3
JAK3	Janus kinase 3	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Expressed in all	appendix: 48.4;lymph node: 46.6
JAML	Junction adhesion molecule like	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Mixed	appendix: 82.3
KANK3	KN motif and ankyrin repeat domains 3	Predicted intracellular proteins	Expressed in all	spleen: 24.9
KAZALD1	Kazal type serine peptidase inhibitor domain 1	Predicted secreted proteins	Expressed in all	spleen: 26.8
KAZN	Kazrin, periplakin interacting protein	Predicted intracellular proteins	Mixed	spleen: 118.3
KBTBD8	Kelch repeat and BTB domain containing 8	Predicted intracellular proteins	Mixed	lymph node: 24.3;tonsil: 18.9
KCNB2	Potassium voltage-gated channel subfamily B member 2	FDA approved drug targets, Predicted membrane proteins, Voltage-gated ion channels	Not detected	cerebral cortex: 3.2;spleen: 3.3
KCNH2	Potassium voltage-gated channel subfamily H member 2	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Mixed	bone marrow: 24.1;testis: 27.3
KEL	Kell blood group, metallo-endopeptidase	Blood group antigen proteins, Cancer-related genes, CD markers, Enzymes, Predicted membrane proteins	Mixed	bone marrow: 14.5;testis: 19.5
KIF18B	Kinesin family member 18B	Predicted intracellular proteins	Mixed	bone marrow: 8.4
KIF19	Kinesin family member 19	Predicted intracellular proteins	Mixed	fallopian tube: 19.0;spleen: 6.6
KIFC1	Kinesin family member C1	Plasma proteins, Predicted intracellular proteins	Expressed in all	lymph node: 3.2
KLHL6	Kelch like family member 6	Predicted intracellular proteins	Mixed	lymph node: 35.1;tonsil: 28.7
KLRC3	Killer cell lectin like receptor C3	Predicted membrane proteins	Tissue enriched	cerebral cortex: 9.2;spleen: 6.2
KLRC4	Killer cell lectin like receptor C4	Predicted membrane proteins	Not detected	spleen: 13.1
KLRD1	Killer cell lectin like receptor D1	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Mixed	spleen: 18.8
KLRF1	Killer cell lectin like receptor F1	Predicted membrane proteins	Mixed	spleen: 24.9
KLRG1	Killer cell lectin like receptor G1	Predicted intracellular proteins, Predicted membrane proteins	Mixed	spleen: 15.8
KLRK1	Killer cell lectin like receptor K1	Cancer-related genes, CD markers, Predicted membrane proteins	Not detected	lymph node: 35.1;spleen: 52.8
LAG3	Lymphocyte activating 3	CD markers, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	spleen: 32.0
LAIR1	Leukocyte associated immunoglobulin like receptor 1	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	lymph node: 7.1
LAIR2	Leukocyte associated immunoglobulin like receptor 2	CD markers, Predicted intracellular proteins, Predicted secreted proteins	Mixed	lymph node: 1.4
LAT	Linker for activation of T-cells	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Not detected	lymph node: 75.3
LAT2	Linker for activation of T-cells family member 2	Disease related genes, Predicted secreted proteins	Expressed in all	lymph node: 70.0
LCK	LCK proto-oncogene, Src family tyrosine kinase	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Mixed	lymph node: 125.9;tonsil: 72.4
LCN2	Lipocalin 2	Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Mixed	bone marrow: 1852.1;gallbladder: 3419.4
LEF1	Lymphoid enhancer binding factor 1	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Expressed in all	lymph node: 41.7
LENG1	Leukocyte receptor cluster member 1	Predicted intracellular proteins	Expressed in all	spleen: 1.8
LILRA2	Leukocyte immunoglobulin like receptor A2	CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Mixed	bone marrow: 9.9;spleen: 7.0
LILRA4	Leukocyte immunoglobulin like receptor A4	CD markers, Predicted membrane proteins	Mixed	spleen: 2.1;tonsil: 2.5
LILRA5	Leukocyte immunoglobulin like receptor A5	CD markers, Predicted membrane proteins	Mixed	appendix: 13.9;bone marrow: 10.3;spleen: 7.5
LILRA6	Leukocyte immunoglobulin like receptor A6	Predicted membrane proteins	Mixed	adipose tissue: 1.9;appendix: 1.9;smooth muscle: 1.9;spleen: 1.9
LILRB1	Leukocyte immunoglobulin like receptor B1	Predicted membrane proteins	Mixed	appendix: 8.6;lymph node: 6.2;spleen: 9.9
LILRB2	Leukocyte immunoglobulin like receptor B2	CD markers, Predicted membrane proteins	Expressed in all	appendix: 8.7;bone marrow: 20.5;spleen: 10.4
LILRB4	Leukocyte immunoglobulin like receptor B4	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	appendix: 14.6;lymph node: 13.4
LILRB5	Leukocyte immunoglobulin like receptor B5	CD markers, Plasma proteins, Predicted membrane proteins	Mixed	spleen: 26.1
LINGO3	Leucine rich repeat and Ig domain containing 3	Predicted membrane proteins	Tissue enhanced	appendix: 1.6;cerebral cortex: 1.6;spleen: 3.7
LMAN1L	Lectin, mannose binding 1 like	Predicted intracellular proteins, Predicted membrane proteins	Tissue enriched	prostate: 91.3;spleen: 31.7
LMNB1	Lamin B1	Disease related genes, Plasma proteins, Predicted intracellular proteins	Expressed in all	lymph node: 41.4
LPCAT1	Lysophosphatidylcholine acyltransferase 1	Enzymes, Predicted membrane proteins	Expressed in all	lung: 19.0;spleen: 14.7
LRMP	Lymphoid restricted membrane protein	Predicted intracellular proteins, Predicted membrane proteins	Mixed	lymph node: 207.1;tonsil: 185.6
LRRC25	Leucine rich repeat containing 25	Predicted membrane proteins	Expressed in all	appendix: 30.4;spleen: 40.6
LRTM1	Leucine rich repeats and transmembrane domains 1	Predicted membrane proteins	Tissue enhanced	skeletal muscle: 9.3;spleen: 8.9
LST1	Leukocyte specific transcript 1	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	bone marrow: 68.7;spleen: 48.9
LTA	Lymphotoxin alpha	Cancer-related genes, Disease related genes, Predicted secreted proteins	Mixed	lymph node: 1.5
LTF	Lactotransferrin	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Expressed in all	bone marrow: 2804.3;cervix, uterine: 1030.7
LY86	Lymphocyte antigen 86	Predicted secreted proteins	Expressed in all	lymph node: 82.3
LY9	Lymphocyte antigen 9	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Mixed	lymph node: 34.5;spleen: 28.2;tonsil: 28.3
LYL1	LYL1, basic helix-loop-helix family member	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Expressed in all	bone marrow: 22.9;spleen: 20.7
LYN	LYN proto-oncogene, Src family tyrosine kinase	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Expressed in all	spleen: 161.1
MADCAM1	Mucosal vascular addressin cell adhesion molecule 1	Predicted membrane proteins	Mixed	appendix: 17.8;spleen: 11.4
MAP4K1	Mitogen-activated protein kinase kinase kinase kinase 1	Enzymes, Predicted intracellular proteins	Expressed in all	lymph node: 37.3;spleen: 23.8;tonsil: 27.2
MARCO	Macrophage receptor with collagenous structure	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Mixed	appendix: 123.2;lung: 288.2
MDS2	Myelodysplastic syndrome 2 translocation associated	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Tissue enhanced	lymph node: 7.7;tonsil: 4.0
MEFV	MEFV, pyrin innate immunity regulator	Disease related genes, Predicted intracellular proteins	Mixed	appendix: 8.1;spleen: 7.0
MICB	MHC class I polypeptide-related sequence B	Disease related genes, Predicted membrane proteins	Mixed	lymph node: 3.2
MKI67	Marker of proliferation Ki-67	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Expressed in all	bone marrow: 28.8
MMP1	Matrix metallopeptidase 1	Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Tissue enhanced	appendix: 39.2;gallbladder: 126.4
MMP12	Matrix metallopeptidase 12	Cancer-related genes, Enzymes, FDA approved drug targets, Predicted secreted proteins	Expressed in all	appendix: 54.6;urinary bladder: 28.7
MMP25	Matrix metallopeptidase 25	Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted secreted proteins	Tissue enhanced	appendix: 23.3;bone marrow: 24.7;spleen: 20.7
MMP3	Matrix metallopeptidase 3	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Tissue enhanced	appendix: 26.5;endometrium: 58.6
MMP9	Matrix metallopeptidase 9	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Expressed in all	bone marrow: 252.6;lymph node: 117.7
MNDA	Myeloid cell nuclear differentiation antigen	Predicted intracellular proteins	Expressed in all	bone marrow: 194.8;spleen: 144.9
MPEG1	Macrophage expressed 1	Predicted membrane proteins, Transporters	Expressed in all	spleen: 283.2
MS4A7	Membrane spanning 4-domains A7	Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	spleen: 316.0
MXD1	MAX dimerization protein 1	Predicted intracellular proteins, Transcription factors	Expressed in all	bone marrow: 113.8;esophagus: 101.9
MXD3	MAX dimerization protein 3	Predicted intracellular proteins, Transcription factors	Expressed in all	bone marrow: 24.2
